t_s,x_m,p_analytic_Pa,p_numeric_Pa
3888.0,65.0,29995104.742082473,29996060.404253572
3888.0,67.5,29996906.32492807,29997420.190602206
3888.0,70.0,29998074.236476947,29998321.397322707
3888.0,72.5,29998819.300505187,29998914.323650837
3888.0,75.0,29999287.041204598,29999301.768034473
3888.0,77.5,29999576.00580306,29999553.32811097
3888.0,80.0,29999751.68163807,29999715.685706556
3888.0,82.5,29999856.782750595,29999819.88432511
3888.0,85.0,29999918.65992769,29999886.404939223
3888.0,87.5,29999954.509300042,29999928.661083266
3888.0,90.0,29999974.94834022,29999955.3779974
3888.0,92.5,29999986.415802136,29999972.195411
3888.0,95.0,29999992.74723456,29999982.73717739
3888.0,97.5,29999996.187282518,29999989.31899155
3888.0,100.0,29999998.02659221,29999993.412968554
3888.0,102.5,29999998.99436422,29999995.950407885
3888.0,105.0,29999999.495458074,29999997.51778452
3888.0,107.5,29999999.750782825,29999998.482834965
3888.0,110.0,29999999.878807753,29999999.07520375
3888.0,112.5,29999999.94197966,29999999.43774869
3888.0,115.0,29999999.972654425,29999999.659015853
3888.0,117.5,29999999.987312138,29999999.7936985
3888.0,120.0,29999999.99420467,29999999.875468988
3888.0,122.5,29999999.99739415,29999999.924993373
3888.0,125.0,29999999.998846553,29999999.95491767
3888.0,127.5,29999999.999497406,29999999.972958345
3888.0,130.0,29999999.999784425,29999999.983811226
3888.0,132.5,29999999.99990898,29999999.990326583
3888.0,135.0,29999999.99996217,29999999.99423019
3888.0,137.5,29999999.99998452,29999999.996564522
3888.0,140.0,29999999.999993768,29999999.99795787
3888.0,142.5,29999999.99999753,29999999.998788074
3888.0,145.0,29999999.999999035,29999999.999281887
3888.0,147.5,29999999.99999963,29999999.99957513
3888.0,150.0,29999999.99999986,29999999.999748994
3888.0,152.5,29999999.999999948,29999999.999851912
3888.0,155.0,29999999.99999998,29999999.99991275
3888.0,157.5,29999999.999999993,29999999.999948658
3888.0,160.0,29999999.999999996,29999999.99996983
3888.0,162.5,30000000.0,29999999.99998229
3888.0,165.0,30000000.0,29999999.999989618
3888.0,167.5,30000000.0,29999999.999993913
3888.0,170.0,30000000.0,29999999.99999644
3888.0,172.5,30000000.0,29999999.999997914
3888.0,175.0,30000000.0,29999999.999998778
3888.0,177.5,30000000.0,29999999.999999285
3888.0,180.0,30000000.0,29999999.999999575
3888.0,182.5,30000000.0,29999999.999999747
3888.0,185.0,30000000.0,29999999.999999844
3888.0,187.5,30000000.0,29999999.999999903
3888.0,190.0,30000000.0,29999999.999999933
3888.0,192.5,30000000.0,29999999.999999955
3888.0,195.0,30000000.0,29999999.99999997
3888.0,197.5,30000000.0,29999999.999999978
3888.0,200.0,30000000.0,29999999.99999998
3888.0,202.5,30000000.0,29999999.999999985
3888.0,205.0,30000000.0,29999999.999999985
3888.0,207.5,30000000.0,29999999.999999985
3888.0,210.0,30000000.0,29999999.999999985
3888.0,212.5,30000000.0,29999999.999999985
3888.0,215.0,30000000.0,29999999.999999985
3888.0,217.5,30000000.0,29999999.999999985
3888.0,220.0,30000000.0,29999999.999999985
3888.0,222.5,30000000.0,29999999.999999985
3888.0,225.0,30000000.0,29999999.999999985
3888.0,227.5,30000000.0,29999999.999999985
3888.0,230.0,30000000.0,29999999.999999985
3888.0,232.5,30000000.0,29999999.999999985
3888.0,235.0,30000000.0,29999999.999999985
3888.0,237.5,30000000.0,29999999.999999985
3888.0,240.0,30000000.0,29999999.999999985
3888.0,242.5,30000000.0,29999999.999999985
3888.0,245.0,30000000.0,29999999.999999985
3888.0,247.5,30000000.0,29999999.999999985
3888.0,250.0,30000000.0,29999999.999999985
3888.0,252.5,30000000.0,29999999.999999985
3888.0,255.0,30000000.0,29999999.999999985
3888.0,257.5,30000000.0,29999999.999999985
3888.0,260.0,30000000.0,29999999.999999985
3888.0,262.5,30000000.0,29999999.999999985
3888.0,265.0,30000000.0,29999999.999999985
3888.0,267.5,30000000.0,29999999.999999985
3888.0,270.0,30000000.0,29999999.999999985
3888.0,272.5,30000000.0,29999999.999999985
3888.0,275.0,30000000.0,29999999.999999985
3888.0,277.5,30000000.0,29999999.999999985
3888.0,280.0,30000000.0,29999999.999999985
3888.0,282.5,30000000.0,29999999.999999985
3888.0,285.0,30000000.0,29999999.999999985
3888.0,287.5,30000000.0,29999999.999999985
3888.0,290.0,30000000.0,29999999.999999985
3888.0,292.5,30000000.0,29999999.999999985
3888.0,295.0,30000000.0,29999999.999999985
3888.0,297.5,30000000.0,29999999.999999985
3888.0,300.0,30000000.0,29999999.999999985
3888.0,302.5,30000000.0,29999999.999999985
3888.0,305.0,30000000.0,29999999.999999985
3888.0,307.5,30000000.0,29999999.999999985
3888.0,310.0,30000000.0,29999999.999999985
3888.0,312.5,30000000.0,29999999.999999985
3888.0,315.0,30000000.0,29999999.999999985
3888.0,317.5,30000000.0,29999999.999999985
3888.0,320.0,30000000.0,29999999.999999985
3888.0,322.5,30000000.0,29999999.999999985
3888.0,325.0,30000000.0,29999999.999999985
3888.0,327.5,30000000.0,29999999.999999985
3888.0,330.0,30000000.0,29999999.999999985
3888.0,332.5,30000000.0,29999999.999999985
3888.0,335.0,30000000.0,29999999.999999985
3888.0,337.5,30000000.0,29999999.999999985
3888.0,340.0,30000000.0,29999999.999999985
3888.0,342.5,30000000.0,29999999.999999985
3888.0,345.0,30000000.0,29999999.999999985
3888.0,347.5,30000000.0,29999999.999999985
3888.0,350.0,30000000.0,29999999.999999985
3888.0,352.5,30000000.0,29999999.999999985
3888.0,355.0,30000000.0,29999999.999999985
3888.0,357.5,30000000.0,29999999.999999985
3888.0,360.0,30000000.0,29999999.999999985
3888.0,362.5,30000000.0,29999999.999999985
3888.0,365.0,30000000.0,29999999.999999985
3888.0,367.5,30000000.0,29999999.999999985
3888.0,370.0,30000000.0,29999999.999999985
3888.0,372.5,30000000.0,29999999.999999985
3888.0,375.0,30000000.0,29999999.999999985
3888.0,377.5,30000000.0,29999999.999999985
3888.0,380.0,30000000.0,29999999.999999985
3888.0,382.5,30000000.0,29999999.999999985
3888.0,385.0,30000000.0,29999999.999999985
3888.0,387.5,30000000.0,29999999.999999985
3888.0,390.0,30000000.0,29999999.999999985
3888.0,392.5,30000000.0,29999999.999999985
3888.0,395.0,30000000.0,29999999.999999985
3888.0,397.5,30000000.0,29999999.999999985
3888.0,400.0,30000000.0,29999999.999999985
3888.0,402.5,30000000.0,29999999.999999985
3888.0,405.0,30000000.0,29999999.999999985
3888.0,407.5,30000000.0,29999999.999999985
3888.0,410.0,30000000.0,29999999.999999985
3888.0,412.5,30000000.0,29999999.999999985
3888.0,415.0,30000000.0,29999999.999999985
3888.0,417.5,30000000.0,29999999.999999985
3888.0,420.0,30000000.0,29999999.999999985
3888.0,422.5,30000000.0,29999999.999999985
3888.0,425.0,30000000.0,29999999.999999985
3888.0,427.5,30000000.0,29999999.999999985
3888.0,430.0,30000000.0,29999999.999999985
3888.0,432.5,30000000.0,29999999.999999985
3888.0,435.0,30000000.0,29999999.999999985
3888.0,437.5,30000000.0,29999999.999999985
3888.0,440.0,30000000.0,29999999.999999985
3888.0,442.5,30000000.0,29999999.999999985
3888.0,445.0,30000000.0,29999999.999999985
3888.0,447.5,30000000.0,29999999.999999985
3888.0,450.0,30000000.0,29999999.999999985
3888.0,452.5,30000000.0,29999999.999999985
3888.0,455.0,30000000.0,29999999.999999985
3888.0,457.5,30000000.0,29999999.999999985
3888.0,460.0,30000000.0,29999999.999999985
3888.0,462.5,30000000.0,29999999.999999985
3888.0,465.0,30000000.0,29999999.999999985
3888.0,467.5,30000000.0,29999999.999999985
3888.0,470.0,30000000.0,29999999.999999985
3888.0,472.5,30000000.0,29999999.999999985
3888.0,475.0,30000000.0,29999999.999999985
3888.0,477.5,30000000.0,29999999.999999985
3888.0,480.0,30000000.0,29999999.999999985
3888.0,482.5,30000000.0,29999999.999999985
3888.0,485.0,30000000.0,29999999.999999985
3888.0,487.5,30000000.0,29999999.999999985
3888.0,490.0,30000000.0,29999999.999999985
3888.0,492.5,30000000.0,29999999.999999985
3888.0,495.0,30000000.0,29999999.999999985
3888.0,497.5,30000000.0,29999999.999999985
3888.0,500.0,30000000.0,29999999.999999985
3888.0,502.5,30000000.0,29999999.999999985
3888.0,505.0,30000000.0,29999999.999999985
3888.0,507.5,30000000.0,29999999.999999985
3888.0,510.0,30000000.0,29999999.999999985
3888.0,512.5,30000000.0,29999999.999999985
3888.0,515.0,30000000.0,29999999.999999985
3888.0,517.5,30000000.0,29999999.999999985
3888.0,520.0,30000000.0,29999999.999999985
3888.0,522.5,30000000.0,29999999.999999985
3888.0,525.0,30000000.0,29999999.999999985
3888.0,527.5,30000000.0,29999999.999999985
3888.0,530.0,30000000.0,29999999.999999985
3888.0,532.5,30000000.0,29999999.999999985
3888.0,535.0,30000000.0,29999999.999999985
3888.0,537.5,30000000.0,29999999.999999985
3888.0,540.0,30000000.0,29999999.999999985
3888.0,542.5,30000000.0,29999999.999999985
3888.0,545.0,30000000.0,29999999.999999985
3888.0,547.5,30000000.0,29999999.999999985
3888.0,550.0,30000000.0,29999999.999999985
3888.0,552.5,30000000.0,29999999.999999985
3888.0,555.0,30000000.0,29999999.999999985
3888.0,557.5,30000000.0,29999999.999999985
3888.0,560.0,30000000.0,29999999.999999985
3888.0,562.5,30000000.0,29999999.999999985
3888.0,565.0,30000000.0,29999999.999999985
3888.0,567.5,30000000.0,29999999.999999985
3888.0,570.0,30000000.0,29999999.999999985
3888.0,572.5,30000000.0,29999999.999999985
3888.0,575.0,30000000.0,29999999.999999985
3888.0,577.5,30000000.0,29999999.999999985
3888.0,580.0,30000000.0,29999999.999999985
3888.0,582.5,30000000.0,29999999.999999985
3888.0,585.0,30000000.0,29999999.999999985
3888.0,587.5,30000000.0,29999999.999999985
3888.0,590.0,30000000.0,29999999.999999985
3888.0,592.5,30000000.0,29999999.999999985
3888.0,595.0,30000000.0,29999999.999999985
3888.0,597.5,30000000.0,29999999.999999985
3888.0,600.0,30000000.0,29999999.999999985
3888.0,602.5,30000000.0,29999999.999999985
3888.0,605.0,30000000.0,29999999.999999985
3888.0,607.5,30000000.0,29999999.999999985
3888.0,610.0,30000000.0,29999999.999999985
3888.0,612.5,30000000.0,29999999.999999985
3888.0,615.0,30000000.0,29999999.999999985
3888.0,617.5,30000000.0,29999999.999999985
3888.0,620.0,30000000.0,29999999.999999985
